# walkroom3 [RH] - empirically searched commands delivered FAITHFULLY within 1%
# criterion: ||(desired_command - achieved_return) / objective_range||_2 <= 0.01; horizon excluded
# protocol: greedy singleton verification on cuda, reset seed 0, clip(rem - r, None, max_return), horizon = max(h-1, 1), integer initial horizon 1..200
# search: 13600 batched CPU discovery rollouts / 259864 env steps; 276 singleton CUDA archive rollouts / 5040 env steps
# archive: 276 normally ended valid commands, 141 unique achieved outcomes; unfaithful outcomes included in dominance audit
# RH tie-break: closest initial horizon to max(actual singleton rollout length - 2, 1), then smallest normalized return error
# final: 68 unique rows, each reparsed then rerun twice (136 rollouts / 2400 env steps); worst normalized error 0
# achieved column is exactly non-dominated (maximisation) against the complete singleton search archive
# checkpoint_sha256: 881981aa2409e0af2ee2e5b22bd9c690ae70a74ddd247bd6d8be30e4480d4c27
# desired_command_0,desired_command_1,desired_command_2,desired_horizon,achieved_return_0,achieved_return_1,achieved_return_2
-18,-1,0,19,-18,-1,0
-17,-2,0,19,-17,-2,0
-17,-1,-1,19,-17,-1,-1
-16,-3,0,19,-16,-3,0
-15,-2,-1,18,-15,-2,-1
-15,0,-2,17,-15,0,-2
-12,-4,0,16,-12,-4,0
-12,-2,-3,17,-12,-2,-3
-12,0,-4,16,-12,0,-4
-11,-5,0,16,-11,-5,0
-11,-3,-4,18,-11,-3,-4
-11,0,-8,19,-11,0,-8
-10,-3,-5,18,-10,-3,-5
-10,-1,-9,20,-10,-1,-9
-9,-7,0,16,-9,-7,0
-9,-2,-7,18,-9,-2,-7
-8,-8,0,16,-8,-8,0
-8,-4,-3,15,-8,-4,-3
-8,0,-10,18,-8,0,-10
-7,-9,-1,17,-7,-9,-1
-7,-4,-7,18,-7,-4,-7
-7,-3,-8,18,-7,-3,-8
-7,-2,-9,18,-7,-2,-9
-6,-12,0,18,-6,-12,0
-6,-1,-10,17,-6,-1,-10
-6,0,-11,17,-6,0,-11
-5,-4,-8,17,-5,-4,-8
-5,-1,-11,17,-5,-1,-11
-5,0,-13,18,-5,0,-13
-4,-11,-1,16,-4,-11,-1
-4,-9,-3,16,-4,-9,-3
-4,-7,-5,16,-4,-7,-5
-4,-5,-9,18,-4,-5,-9
-4,0,-15,19,-4,0,-15
-3,-14,0,17,-3,-14,0
-3,-12,-2,17,-3,-12,-2
-3,-11,-4,18,-3,-11,-4
-3,-6,-7,16,-3,-6,-7
-3,-2,-11,16,-3,-2,-11
-3,0,-17,20,-3,0,-17
-2,-16,0,18,-2,-16,0
-2,-15,-1,18,-2,-15,-1
-2,-13,-3,18,-2,-13,-3
-2,-8,-5,15,-2,-8,-5
-2,-7,-6,15,-2,-7,-6
-2,-6,-8,16,-2,-6,-8
-2,-2,-12,16,-2,-2,-12
-2,-1,-13,16,-2,-1,-13
-1,-17,-1,19,-1,-17,-1
-1,-15,-2,18,-1,-15,-2
-1,-13,-4,18,-1,-13,-4
-1,-12,-6,19,-1,-12,-6
-1,-11,-7,19,-1,-11,-7
-1,-9,-9,19,-1,-9,-9
-1,-4,-12,17,-1,-4,-12
-1,-1,-14,16,-1,-1,-14
-1,0,-18,19,-1,0,-18
0,-18,0,18,0,-18,0
0,-17,-3,20,0,-17,-3
0,-16,-4,20,0,-16,-4
0,-15,-5,20,0,-15,-5
0,-13,-6,19,0,-13,-6
0,-11,-8,19,0,-11,-8
0,-6,-10,16,0,-6,-10
0,-5,-13,18,0,-5,-13
0,-2,-16,18,0,-2,-16
0,-1,-18,19,0,-1,-18
0,0,-19,19,0,0,-19
