# dst [RH] - empirically searched commands delivered FAITHFULLY within 1%
# criterion: ||(desired_command - achieved_return) / objective_range||_2 <= 0.01; horizon excluded
# protocol: greedy singleton verification on cuda, reset seed 0, clip(rem - r, None, max_return), horizon = max(h-1, 1), integer initial horizon 1..200
# search: 2000 batched CPU discovery rollouts / 28627 env steps; 20 singleton CUDA archive rollouts / 192 env steps
# archive: 20 normally ended valid commands, 10 unique achieved outcomes; unfaithful outcomes included in dominance audit
# final: 10 unique rows, each reparsed then rerun twice (20 rollouts / 192 env steps); worst normalized error 0
# achieved column is exactly non-dominated (maximisation) against the complete singleton search archive
# checkpoint_sha256: b32dd5757635099e353367d74d5becfc1e916a8896a1f7a6874bb4f9554b35ae
# desired_command_0,desired_command_1,desired_horizon,achieved_return_0,achieved_return_1
1,-1,1,1,-1
2,-3,3,2,-3
3,-5,5,3,-5
5,-7,7,5,-7
8,-8,8,8,-8
16,-9,9,16,-9
24,-13,13,24,-13
50,-14,14,50,-14
74,-17,17,74,-17
124,-19,19,124,-19
